,time,WindSpeed_80m,WindDirection_80m,TurbulenceIntensity_80m
0,2019-01-01 02:00:00+00:00,2.183,94.1,0.05
1,2019-01-01 02:10:00+00:00,1.713,105.3,0.038
2,2019-01-01 02:20:00+00:00,1.522,108.3,0.035
3,2019-01-01 02:30:00+00:00,1.357,111.6,0.04
4,2019-01-01 02:40:00+00:00,2.307,118.5,0.047
5,2019-01-01 02:50:00+00:00,1.717,146.3,0.049
6,2019-01-01 03:00:00+00:00,1.868,125.1,0.039
7,2019-01-01 03:10:00+00:00,1.594,133.5,0.108
8,2019-01-01 03:20:00+00:00,1.773,124.7,0.129
9,2019-01-01 03:30:00+00:00,1.863,119.4,0.123
10,2019-01-01 03:40:00+00:00,2.141,113.6,0.16
11,2019-01-01 03:50:00+00:00,1.34,98.7,0.089
12,2019-01-01 04:00:00+00:00,1.2,98.9,0.059
13,2019-01-01 04:10:00+00:00,1.968,114.3,0.049
14,2019-01-01 04:20:00+00:00,1.32,127.7,0.067
15,2019-01-01 04:30:00+00:00,1.523,128.0,0.043
16,2019-01-01 04:40:00+00:00,2.23,119.9,0.029
17,2019-01-01 04:50:00+00:00,2.374,121.9,0.051
18,2019-01-01 05:00:00+00:00,2.42,122.3,0.041
19,2019-01-01 05:10:00+00:00,2.591,115.6,0.108
20,2019-01-01 05:20:00+00:00,2.794,122.8,0.078
21,2019-01-01 05:30:00+00:00,2.783,116.8,0.074
22,2019-01-01 05:40:00+00:00,3.125,118.3,0.042
23,2019-01-01 05:50:00+00:00,3.098,122.8,0.015
24,2019-01-01 06:00:00+00:00,2.663,129.5,0.031
25,2019-01-01 06:10:00+00:00,2.467,143.5,0.044
26,2019-01-01 06:20:00+00:00,2.196,126.7,0.049
27,2019-01-01 06:30:00+00:00,2.087,125.5,0.049
28,2019-01-01 06:40:00+00:00,1.847,131.6,0.022
29,2019-01-01 06:50:00+00:00,2.225,137.6,0.023
30,2019-01-01 07:00:00+00:00,2.095,133.9,0.016
31,2019-01-01 07:10:00+00:00,2.353,136.4,0.031
32,2019-01-01 07:20:00+00:00,1.973,134.8,0.017
33,2019-01-01 07:30:00+00:00,1.678,123.3,0.116
34,2019-01-01 07:40:00+00:00,0.762,107.3,0.177
35,2019-01-01 07:50:00+00:00,0.394,93.5,0.246
36,2019-01-01 08:00:00+00:00,0.273,353.7,0.0
37,2019-01-01 08:10:00+00:00,0.442,72.08,0.147
38,2019-01-01 08:20:00+00:00,0.42,101.4,0.16
39,2019-01-01 08:30:00+00:00,0.948,119.5,0.142
